comparison	resistant	susceptible	species	country
Nkolondom	Nkolondom	Kisumu	gambiae	Cameroon
Garre	Garre	Ngousso	coluzzii	Cameroon
Messa	Messa	Ngousso	coluzzii	Cameroon
Bioko	Bioko	Ngousso	coluzzii	Equatorial Guinea
Kitwe	Kitwe	Kisumu	gambiae	Zambia
Bouake	Bouake	Ngousso	coluzzii	Cote d'Ivoire
MBe	MBe	Ngousso	coluzzii	Cote d'Ivoire
Tiassale	Tiassale	Ngousso	coluzzii	Cote d'Ivoire
PembaMoz	PembaMoz	Moz	arabiensis	Tanzania
PembaUnguja	PembaUnguja	Unguja	arabiensis	Tanzania
PembaDar	PembaDar	Dar	arabiensis	Tanzania
WadMedani	WadMedani	Medani	arabiensis	Sudan
VK6	VK6	Ngousso	coluzzii	Burkina Faso
Banfora	Banfora	Ngousso	coluzzii	Burkina Faso
Tiefora13	Tiefora13	Kisumu	gambiae	Burkina Faso
Tiefora14	Tiefora14	Kisumu	gambiae	Burkina Faso
JinjaMoz	JinjaMoz	Moz	arabiensis	Uganda
JinjaDong	JinjaDong	Dong	arabiensis	Uganda
DSSBA	DSSBA	Moz	arabiensis	Burkina Faso
Tengrela	Tengrela	Mali	coluzzii	Burkina Faso
VK72012	VK72012	Ngousso	coluzzii	Burkina Faso
VK72011	VK72011	Mali	coluzzii	Burkina Faso
TiassaleMali	TiassaleMali	Mali	coluzzii	Cote d'Ivoire
TiassaleOkyero	TiassaleOkyero	Okyero	coluzzii	Cote d'Ivoire
Tiassale2011	Tiassale2011	Ngousso	coluzzii	Cote d'Ivoire
KovieOkyero	KovieOkyero	Okyero	coluzzii	Togo
KovieMalanville	KovieMalanville	Malanville	coluzzii	Togo
Youande	Youande	Kisumu	gambiae	Cameroon
Hai	Hai	Ifakara	arabiensis	Tanzania
Muheza	Muheza	Ifakara	arabiensis	Tanzania
Dar	Dar	Ifakara	arabiensis	Tanzania
